,concept_name,concept_table,MICU,SICU,gap
0,-bands,lab,0.2087358744655959,0.14738510301097055,0.061350771454625364
1,-basos,lab,0.7097605246204638,0.6348319292679666,0.07492859535249718
2,-eos,lab,0.7159084255514281,0.6387521895065154,0.07715623604491273
3,-lymphs,lab,0.7459453129569963,0.6589373592454258,0.08700795371157044
4,-monos,lab,0.7310732478478066,0.6453415630989695,0.08573168474883708
5,-polys,lab,0.5726330581412421,0.556593544081611,0.01603951405963111
6,.5 ML VIAL : PNEUMOCOCCAL VAC POLYVALENT 25 MCG/0.5ML IJ INJ,med,0.008314304116161183,0.008174159646335662,0.00014014446982552053
7,0.4 ML SYRINGE : ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,med,0.010070847239293827,0.019517891400434133,0.009447044161140306
8,0.5 ML - INFLUENZA VAC SPLIT QUAD 0.5 ML IM SUSP,med,0.006557760993028539,0.006589373592454258,3.161259942571944e-05
9,0.5 ML PLAS CONT : ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,med,0.0200831430411499,0.01885061306195775,0.0012325299791921505
10,1 EACH PACKAGE CUSTOM NDC : METOPROLOL TARTRATE 12.5 MG PO TABS (HALF-TAB),med,0.003454534808827534,0.006339144215525615,0.0028846094066980812
11,1 EACH VIAL : ALTEPLASE 2 MG IJ SOLR,med,0.017858188418515216,0.010342814246383898,0.007515374172131318
12,1 EACH VIAL : CEFEPIME HCL 1 GM IJ SOLR,med,0.012471456174241774,0.005421636500120592,0.007049819674121182
13,1 EACH VIAL : CEFTRIAXONE SODIUM 1 G IJ SOLR,med,0.007260378242281596,0.005171407123191949,0.0020889711190896472
14,1 ML  -  DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,med,0.00960243573979179,0.016431729084980872,0.006829293345189082
15,1 ML  -  HALOPERIDOL LACTATE 5 MG/ML IJ SOLN,med,0.0067334153053418035,0.0048377679539537595,0.001895647351388044
16,1 ML  -  HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,med,0.0237133321622907,0.01684877804652861,0.006864554115762089
17,1 ML  -  HYDRALAZINE HCL 20 MG/ML IJ SOLN,med,0.021137068915029488,0.032196179831485365,0.011059110916455877
18,1 ML  -  HYDROMORPHONE HCL 1 MG/ML IJ SOLN,med,0.020024591603712144,0.03920260238548736,0.019178010781775216
19,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,med,0.015223373733816251,0.010926682792550732,0.004296690941265519
20,1 ML  -  NALOXONE HCL 0.4 MG/ML IJ SOLN,med,0.010480707301358111,0.020769038285077344,0.010288330983719233
21,1 ML  : HYDROMORPHONE HCL PF 2 MG/ML IJ SOLN,med,0.005269629369397933,0.013178747184908517,0.007909117815510583
22,1 ML : HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,med,0.02154692897709377,0.008507798815573852,0.013039130161519918
23,1 ML : HYDROMORPHONE HCL PF 1 MG/ML IJ SOLN,med,0.00474266643245814,0.012428059054122588,0.007685392621664448
24,1 ML CRTRDG-NDL : HYDROMORPHONE HCL PF 1 MG/ML IJ SOLN,med,0.007962995491534654,0.01926766202350549,0.011304666531970837
25,1 ML CRTRDG-NDL : MORPHINE SULFATE (PF) 2 MG/ML IV SOLN,med,0.020727208852965202,0.03670030861620093,0.01597309976323573
26,1 ML CRTRDG-NDL : MORPHINE SULFATE 2 MG/ML IJ SOLN,med,0.012998419111181568,0.01743264659269544,0.004434227481513873
27,1 ML SYRINGE : MORPHINE SULFATE (PF) 4 MG/ML IV SOLN,med,0.008782715615663222,0.02060221870045825,0.011819503084795027
28,1 ML VIAL : DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,med,0.009660987177229545,0.019017432646576845,0.0093564454693473
29,1 ML VIAL : DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,med,0.008548509865912202,0.01509717240802811,0.006548662542115908
30,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,med,0.013759587797872381,0.02126949703893463,0.00750990924106225
31,1 ML VIAL : HYDRALAZINE HCL 20 MG/ML IJ SOLN,med,0.006499209555590784,0.013345566769527611,0.006846357213936827
32,1 ML VIAL : LORAZEPAM 2 MG/ML IJ SOLN,med,0.02506001522335906,0.018683793477338655,0.006376221746020403
33,1 ML VIAL: DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,med,0.008899818490538731,0.02268746350819694,0.01378764501765821
34,1 ML VIAL: HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,med,0.030446747467632502,0.04771040120106121,0.017263653733428707
35,1 ML VIAL: HYDRALAZINE HCL 20 MG/ML IJ SOLN,med,0.01727267404413767,0.015847860538814037,0.001424813505323634
36,1 ML VIAL: LORAZEPAM 2 MG/ML IJ SOLN,med,0.017214122606699914,0.015681040954194942,0.0015330816525049723
37,10 ML  -  ATROPINE SULFATE 0.1 MG/ML IJ SOLN,med,0.001873645998008154,0.0031695721077628076,0.0012959261097546537
38,10 ML  -  CALCIUM GLUCONATE 10 % IV SOLN,med,0.022190994788909076,0.015263991992647205,0.0069270027962618705
39,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,med,0.0063235552432775195,0.005588456084739687,0.0007350991585378325
40,10 ML  -  INSULIN GLARGINE 100 UNIT/ML SC SOLN,med,0.011651736050113208,0.01201101009257485,0.00035927404246164155
41,10 ML  -  MAGNESIUM SULFATE 50 % IJ SOLN,med,0.00011710287487550962,0.0012511468846432136,0.0011340440097677039
42,10 ML  -  NICARDIPINE HCL 2.5 MG/ML IV SOLN,med,0.0012881316236306058,0.0027525231462150698,0.001464391522584464
43,10 ML  -  POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,med,0.005152526494522423,0.005171407123191949,1.8880628669525924e-05
44,10 ML CUP : DOCUSATE SODIUM 50 MG/5ML PO LIQD,med,0.017858188418515216,0.014596713654170824,0.003261474764344392
45,10 ML CUP : MAGNESIUM HYDROXIDE 2400 MG/10ML PO SUSP,med,0.008899818490538731,0.01267828843105123,0.003778469940512499
46,10 ML VIAL : CALCIUM CHLORIDE 10 % IV SOLN,med,0.004274254932956101,0.004754358161644211,0.00048010322868811007
47,10 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,med,0.00948533286491628,0.0077571106847879245,0.0017282221801283556
48,10 ML VIAL : INSULIN GLARGINE 100 UNIT/ML SC SOLN,med,0.0139937935476234,0.011260321961788921,0.0027334715858344794
49,10 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,med,0.024884360911045796,0.0462924347317989,0.021408073820753104
50,10 ML VIAL: INFUVITE IV INJ,med,0.003630189121140798,0.0055050462924301395,0.0018748571712893414
51,10 ML VIAL: INSULIN ASPART 100 UNIT/ML SC SOLN,med,0.003688740558578553,0.0009175077154050233,0.0027712328431735295
52,10 ML VIAL: INSULIN GLARGINE 100 UNIT/ML SC SOLN,med,0.0097195386146673,0.009758945700217066,3.940708554976691e-05
53,10 ML VIAL: INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,med,0.02664090403417844,0.03978647093165419,0.013145566897475747
54,100 ML  -  MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,med,0.03817553720941614,0.03711735757774867,0.0010581796316674677
55,100 ML  -  METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN,med,0.0067334153053418035,0.008174159646335662,0.001440744340993859
56,100 ML  -  POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,med,0.04373792376600284,0.04337309200096474,0.00036483176503810527
57,100 ML  -  PROPOFOL 10 MG/ML IV EMUL,med,0.010305052989044846,0.006756193177073353,0.003548859811971493
58,100 ML BAG CUSTOM NDC : INSULIN INFUSION,med,0.004918320744771405,0.005588456084739687,0.0006701353399682823
59,100 ML FLEX CONT : ALBUMIN HUMAN 25 % IV SOLN,med,0.004449909245269366,0.0035866210693105455,0.0008632881759588202
60,100 ML FLEX CONT : MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,med,0.010480707301358111,0.00959212611559797,0.000888581185760141
61,100 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,med,0.006674863867904049,0.004170489615477379,0.00250437425242667
62,100 ML GLASS CONT : IOPAMIDOL 61 % IV SOLN,med,0.01094911880086015,0.0171824172157668,0.006233298414906649
63,100 ML GLASS CONT : IOPAMIDOL 76 % IV SOLN,med,0.006499209555590784,0.00583868546166833,0.000660524093922454
64,100 ML NDC : DEXMEDETOMIDINE HCL IN NACL 400 MCG/100ML IV SOLN,med,0.00462556355758263,0.0037534406539296407,0.0008721229036529896
