Unnamed: 0,concept_name,concept_table,MICU,SICU,gap
0,-bands,lab,0.2087358744655959,0.1473851030109705,0.0613507714546253
1,-basos,lab,0.7097605246204638,0.6348319292679666,0.0749285953524971
2,-eos,lab,0.7159084255514281,0.6387521895065154,0.0771562360449127
3,-lymphs,lab,0.7459453129569963,0.6589373592454258,0.0870079537115704
4,-monos,lab,0.7310732478478066,0.6453415630989695,0.085731684748837
5,-polys,lab,0.5726330581412421,0.556593544081611,0.0160395140596311
114,24 h urine protein,lab,0.025528426722861,0.0206856284927677,0.0048427982300933
115,24 h urine urea nitrogen,lab,0.0004098600620642,0.0014179664692623,0.001008106407198
167,ABACAVIR SULFATE                                                                                                                                                                                                                                               ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
168,ABILIFY                                                                                                                                                                                                                                                        ,adm,0.0016394402482571,0.0031695721077628,0.0015301318595056
169,ACAMPROSATE CALCIUM                                                                                                                                                                                                                                            ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
170,ACARBOSE                                                                                                                                                                                                                                                       ,adm,0.0001171028748755,0.0003336391692381,0.0002165362943626
171,ACCOLATE                                                                                                                                                                                                                                                       ,adm,0.000234205749751,8.340979230954757e-05,0.0001507959574414
172,ACCU-CHEK                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
173,ACCU-CHEK COMPACT                                                                                                                                                                                                                                              ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
174,ACCUNEB                                                                                                                                                                                                                                                        ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
175,ACCUPRIL                                                                                                                                                                                                                                                       ,adm,0.0006440658118153,0.0002502293769286,0.0003938364348866
176,ACCURETIC                                                                                                                                                                                                                                                      ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
178,ACETAMINOPH-CAFF-DIHYDROCODEIN                                                                                                                                                                                                                                 ,adm,5.855143743775481e-05,8.340979230954757e-05,2.4858354871792764e-05
180,ACETAMINOPHEN                                                                                                                                                                                                                                                  ,adm,0.0033959833713897,0.0072566519309306,0.0038606685595408
191,ACETAMINOPHEN 8 HOUR                                                                                                                                                                                                                                           ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
192,ACETAMINOPHEN ER                                                                                                                                                                                                                                               ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
193,ACETAMINOPHEN W-CODEINE                                                                                                                                                                                                                                        ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
194,ACETAMINOPHEN WITH CODEINE PHOSPHATE                                                                                                                                                                                                                           ,adm,0.0001756543123132,0.000166819584619,8.83472769416929e-06
195,ACETAMINOPHEN-CODEINE                                                                                                                                                                                                                                          ,adm,0.0001171028748755,0.0002502293769286,0.0001331265020531
196,ACETAZOLAMIDE                                                                                                                                                                                                                                                  ,adm,0.0001171028748755,0.0003336391692381,0.0002165362943626
197,ACETIC ACID                                                                                                                                                                                                                                                    ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
198,ACETYLCYSTEINE                                                                                                                                                                                                                                                 ,adm,0.0008197201241285,0.0003336391692381,0.0004860809548903
199,ACIDOPHILUS                                                                                                                                                                                                                                                    ,adm,0.0003513086246265,0.0005004587538572,0.0001491501292307
200,ACIPHEX                                                                                                                                                                                                                                                        ,adm,0.0003513086246265,0.0002502293769286,0.0001010792476978
201,ACITRETIN                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
202,ACLIDINIUM BROMIDE                                                                                                                                                                                                                                             ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
203,ACTIGALL                                                                                                                                                                                                                                                       ,adm,0.0003513086246265,0.0003336391692381,1.766945538833858e-05
204,ACTIVASE                                                                                                                                                                                                                                                       ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
205,ACTIVELLA                                                                                                                                                                                                                                                      ,adm,5.855143743775481e-05,0.0,5.855143743775481e-05
206,ACTONEL                                                                                                                                                                                                                                                        ,adm,0.0,8.340979230954757e-05,8.340979230954757e-05
207,ACTOPLUS MET                                                                                                                                                                                                                                                   ,adm,5.855143743775481e-05,0.0002502293769286,0.0001916779394908
